Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,DailyCalories,ActiveMinutes,CaloriesPerStep,StepDensity,ActivityFlag,DailyStepTotal,FlagStep,HourlyStepTotal,AverageIntensity,TotalIntensity,TotalMinutesAsleep,TotalSleepRecords,TotalTimeInBed,MinutesValue,SedentaryRatio,HourlyValue,HourlyCalories,MinutesCalories,BMI,Fat,IsManualReport,WeightKg,WeightPounds
7086361926,4/12/2016,11317,8.409999847,5.269999981,0.150000006,2.970000029,0,59,6,153,745,2772,218,0,1345.659953,Active,11317,StepsRecorded,0,0,0,514,1,525,NULL,0,NULL,68,1.1317,NULL,NULL,NULL,NULL,NULL
8378563200,4/12/2016,7626,6.050000191,0.829999983,0.709999979,4.5,0,65,15,156,723,3635,236,0,1260.495828,Active,7626,StepsRecorded,51,0.05,3,338,1,356,NULL,0,NULL,100,1.5015,NULL,NULL,NULL,NULL,NULL
8792009665,4/12/2016,2564,1.639999986,0,0,1.639999986,0,0,0,116,831,2044,116,0,1563.414648,Active,2564,StepsRecorded,0,0,0,458,1,493,1,0,83,70,1.1727,NULL,NULL,NULL,NULL,NULL
2873212765,4/12/2016,8796,5.909999847,0.109999999,0.930000007,4.880000114,0,2,21,356,1061,1982,379,0,1488.324912,Active,8796,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,53,0.8783,NULL,NULL,NULL,NULL,NULL
4558609924,4/12/2016,5135,3.390000105,0,0,3.390000105,0,0,0,318,1122,1909,318,0,1514.749216,Active,5135,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,69,56,0.9281,NULL,NULL,NULL,NULL,NULL
7007744171,4/12/2016,14172,10.28999996,4.5,0.379999995,5.409999847,0,53,8,355,1024,2937,416,0,1377.25948,Active,14172,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,84,65,1.0812,NULL,NULL,NULL,NULL,NULL
4388161847,4/12/2016,10122,7.78000021,0,0,0,0,0,0,0,1440,2955,0,0,1301.028243,Active,10122,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,1,NULL,78,1.3043,NULL,NULL,NULL,NULL,NULL
4319703577,4/12/2016,7753,5.199999809,0,0,0,0,0,0,0,1440,2115,0,0,1490.961593,Active,7753,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,1,NULL,61,1.0111,NULL,NULL,NULL,NULL,NULL
2320127002,4/12/2016,10725,7.489999771,1.169999957,0.310000002,6.010000229,0,13,9,306,1112,2124,328,0,1431.909256,Active,10725,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,55,0.92,NULL,NULL,NULL,NULL,NULL
4057192912,4/12/2016,5394,4.03000021,0,0,3.940000057,0,0,0,164,1276,2286,164,0,1338.461469,Active,5394,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,74,1.2336,NULL,NULL,NULL,NULL,NULL
3372868164,4/12/2016,4747,3.24000001,0,0,3.230000019,0.01,0,0,280,1160,1788,280,0,1465.123452,Active,4747,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,56,0.9353,NULL,NULL,NULL,NULL,NULL
8583815059,4/12/2016,5014,3.910000086,0,0.330000013,3.579999924,0,0,7,196,1237,2650,203,0,1282.352913,Active,5014,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,84,1.4025,NULL,NULL,NULL,NULL,NULL
6775888955,4/12/2016,0,0,0,0,0,0,0,0,0,1440,1841,0,NULL,NULL,Active,0,NoSteps,0,0,0,NULL,NULL,NULL,NULL,1,NULL,77,1.2785,NULL,NULL,NULL,NULL,NULL
8877689391,4/12/2016,23186,20.39999962,12.22000027,0.340000004,7.820000172,0,85,7,312,1036,3921,404,0,1136.568649,Active,23186,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,82,73,1.2248,25.68,0,FALSE,85.8,189.157
2022484408,4/12/2016,11875,8.340000153,3.309999943,0.769999981,4.260000229,0,42,14,227,1157,2390,283,0,1423.860885,Active,11875,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,66,62,1.0377,NULL,NULL,NULL,NULL,NULL
2347167796,4/12/2016,10113,6.829999924,2,0.620000005,4.199999809,0,28,13,320,964,2344,361,0,1480.673516,Active,10113,StepsRecorded,0,0,0,NULL,NULL,NULL,3,0,61,56,0.9406,NULL,NULL,NULL,NULL,NULL
1644430081,4/12/2016,10694,7.769999981,0.140000001,2.299999952,5.329999924,0,2,51,256,1131,3199,309,0,1376.31918,Active,10694,StepsRecorded,8,0.016667,1,NULL,NULL,NULL,NULL,0,NULL,87,1.4053,NULL,NULL,NULL,NULL,NULL
6290855005,4/12/2016,4562,3.450000048,0,0,3.450000048,0,0,0,199,1241,2560,199,0,1322.318822,Active,4562,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,86,1.431,NULL,NULL,NULL,NULL,NULL
1844505072,4/12/2016,6697,4.429999828,0,0,4.429999828,0,0,0,339,1101,2030,339,0,1511.738208,Active,6697,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,56,0.9357,NULL,NULL,NULL,NULL,NULL
8253242879,4/12/2016,9033,7.159999847,5.429999828,0.140000001,1.590000033,0,40,2,154,1244,2044,196,0,1261.592206,Active,9033,StepsRecorded,0,0,0,NULL,NULL,NULL,NULL,0,NULL,59,0.9914,NULL,NULL,NULL,NULL,NULL
8053475328,4/12/2016,18060,14.11999989,11.64000034,0.389999986,2.099999905,0,116,8,123,1193,3186,247,0,1279.036838,Active,18060,StepsRecorded,7,0.016667,1,NULL,NULL,NULL,NULL,0,NULL,77,1.33936,NULL,NULL,NULL,NULL,NULL
6117666160,4/12/2016,0,0,0,0,0,0,0,0,0,1440,1496,0,NULL,NULL,Active,0,NoSteps,0,0,0,NULL,NULL,NULL,NULL,1,NULL,62,1.0393,NULL,NULL,NULL,NULL,NULL
1624580081,4/12/2016,8163,5.309999943,0,0,5.309999943,0,0,0,146,1294,1432,146,0,1537.288152,Active,8163,StepsRecorded,0,0.016667,1,NULL,NULL,NULL,NULL,0,NULL,51,0.831,NULL,NULL,NULL,NULL,NULL
